R,G,B
0.531899,0.628468,0.811516
0.531882,0.628486,0.811570
0.531864,0.628486,0.811552
0.531580,0.628273,0.811303
0.531011,0.627811,0.810877
0.530550,0.627384,0.810433
0.531242,0.627988,0.810966
0.531296,0.627971,0.810966
0.531065,0.627757,0.810788
0.530390,0.627296,0.810255
0.528543,0.625733,0.808799
0.530674,0.627491,0.810451
0.529164,0.626372,0.809261
0.529981,0.627065,0.809882
0.529661,0.626603,0.809509
0.532166,0.628610,0.811765
0.531278,0.627793,0.811001
0.531420,0.627971,0.810877
0.531473,0.628042,0.811001
0.530141,0.626798,0.809723
0.531189,0.627811,0.810664
0.531455,0.628006,0.810877
0.531633,0.628184,0.811037
0.531580,0.628113,0.810984
0.531597,0.628130,0.811001
0.531597,0.628113,0.811001
0.531597,0.628130,0.811001
0.532326,0.628805,0.811836
0.531455,0.628095,0.811019
0.531544,0.628042,0.810930
0.531509,0.628006,0.810877
0.531100,0.627686,0.810504
0.530496,0.627171,0.809936
0.530407,0.627083,0.809882
0.531011,0.627669,0.810451
0.533178,0.629516,0.812547
0.530798,0.627509,0.810273
0.531455,0.627988,0.810770
0.530709,0.627242,0.809989
0.530407,0.626958,0.809705
0.529946,0.626479,0.809172
0.530425,0.627011,0.809723
0.531580,0.628077,0.810717
0.531970,0.628290,0.811019
0.531988,0.628308,0.811019
0.531935,0.628219,0.810966
0.531846,0.628201,0.810930
0.531580,0.628024,0.810717
0.530887,0.627420,0.810078
0.530923,0.627456,0.810060
0.531899,0.628237,0.810930
0.531828,0.628166,0.810859
0.531367,0.627828,0.810522
0.531207,0.627722,0.810415
0.531669,0.628059,0.810735
0.531864,0.628166,0.810806
0.531970,0.628255,0.810895
0.531899,0.628184,0.810806
0.531828,0.628130,0.810735
0.531846,0.628095,0.810699
0.531793,0.628077,0.810646
0.531935,0.628201,0.810788
0.531580,0.627953,0.810575
0.532237,0.628521,0.811161
0.534333,0.630546,0.813346
0.531988,0.628237,0.810913
0.531420,0.627757,0.810326
0.531242,0.627615,0.810167
0.530425,0.626940,0.809403
0.529306,0.625928,0.808462
0.529715,0.626319,0.808852
0.529075,0.625750,0.808302
0.530052,0.626585,0.809172
0.530372,0.626852,0.809687
0.530194,0.626514,0.809314
0.529839,0.626230,0.809048
0.531917,0.628273,0.811161
0.531793,0.628166,0.810984
0.531331,0.627846,0.810557
0.533249,0.629551,0.812564
0.538276,0.634116,0.817289
0.532503,0.629001,0.811641
0.528702,0.625626,0.807929
0.527850,0.624969,0.807343
0.528987,0.626141,0.808568
0.526482,0.623779,0.806081
0.526003,0.623317,0.805620
0.527317,0.624330,0.806490
0.526571,0.623655,0.806348
0.528791,0.625484,0.807733
0.529040,0.625679,0.807964
0.528809,0.625466,0.807751
0.528791,0.625413,0.807769
0.528560,0.625271,0.807591
0.528471,0.625182,0.807467
0.530532,0.626976,0.809350
0.530851,0.627278,0.809687
0.531402,0.627882,0.810344
0.529146,0.625733,0.808053
0.529928,0.626479,0.808692
